Code,Name,Manufacturer,Part Number,Product Group Description,Stock Unit Name,Cost Price,Sales Price (£),Sales Price (€),Margin,DMI Sales Price (€),Variance (DMI IE),DMI URL (IE),DentalSky Sales Price (£),Variance (DentalSky),DentalSky URL,Dontalia Sales Price (€),Variance (Dontalia),Dontalia URL,DMI Sales Price (£),Variance (DMI UK),DMI URL (UK),Henry Schein Sales Price (€),Variance (Henry Schein),Henry Schein URL
AA120,BD Micro-Fine + Insulin Syringe 0.3ml Needle 30Gx8mm -Box100,BD,324826,ANAESTHETIC ACCESSORIES,Box (100),£7.22,£15.38,€17.84,53.1%,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,N/A,,
AA131,4T Medical FMS 32G Fine Micro Syringe 0.3ml - Box100,4T Medical,4TM001,ANAESTHETIC ACCESSORIES,Box (100),£16.68,£26.50,€30.74,37.0%,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,N/A,,
AA132,4T Medical FMS 32G Fine Micro Syringe 0.5ml - Box100,4T Medical,,ANAESTHETIC ACCESSORIES,Box (100),£16.67,£21.91,€25.42,23.9%,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,N/A,,
AAA345,"#Dentsply Anestadent 4% 1:100,000 Solution 2.2ml (546) -Bx50",Dentsply,546,MEDICINES,Box (50),£18.07,£23.15,€26.85,21.9%,€30.46,-11.8%,https://www.dmi.ie/products/dentsply-sirona-anestadent-4-1-100-000-50pk-dent-546.html?name=Dentsply+Anestadent+4%25&type=simple,£25.45,-9.0%,https://www.dentalsky.com/anestadent-4-articaine-1-100-000-2-2ml-50.html,N/A,,,£25.50,,https://www.dmi.co.uk/products/dentsply-sirona-anestadent-4-1-100-000-50pk-dent-546.html?name=Dentsply+Anestadent+4%25&type=simple,N/A,,
ABG008A,Perfection Plus Bib Roll Paper-Plastic Blue PP002/0020 - 80,Perfection Plus,PP002/0020,"APRONS, BIBS & GLOVES",Roll (80),£6.20,£10.00,€11.60,38.0%,€14.34,-19.1%,https://www.dmi.ie/products/perfection-plus-bib-roll-paper-plastic-80pk-blue-perf-0020020.html?_gl=1*1nftlb5*_up*MQ..*_ga*NjI2ODAzNjE0LjE3NDQxNDM1NTQ.*_ga_0T1NKWVSZ2*MTc0NDE1NDk3OS4yLjEuMTc0NDE1NTIyNy4wLjAuMA..,N/A,N/A,,N/A,N/A,,£12.00,,https://www.dmi.co.uk/products/perfection-plus-bib-roll-paper-plastic-80pk-blue-perf-0020020.html?_gl=1*1nftlb5*_up*MQ..*_ga*NjI2ODAzNjE0LjE3NDQxNDM1NTQ.*_ga_0T1NKWVSZ2*MTc0NDE1NDk3OS4yLjEuMTc0NDE1NTIyNy4wLjAuMA..,N/A,,
ABG012A,HPC Healthline Gloves Powder Free Small GN31 - Box100,HPC,GN31D / 10,"APRONS, BIBS & GLOVES",Box (100),£3.22,£5.55,€6.44,42.0%,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,N/A,,
ABG013A,HPC Healthline Gloves Powder Free Medium GN31 - Box100,HPC,GN31D / 10,"APRONS, BIBS & GLOVES",Box (100),£3.59,£5.55,€6.44,35.3%,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,N/A,,
ABG014A,HPC Healthline Gloves Powder Free Large GN31 - Box100,HPC,GN31D / 10,"APRONS, BIBS & GLOVES",Box (100),£3.59,£5.55,€6.44,35.3%,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,N/A,,
ABG020,Pegasus Velcro Dental Bib Blue - Each,Astek Innovations,10023PEG,"APRONS, BIBS & GLOVES",Each,£1.22,£2.89,€3.35,57.8%,€3.75,-10.6%,https://www.dmi.ie/products/pegasus-bib-with-velcro-single-pega-10023.html?name=Pegasus&type=simple&_gl=1*a3ie9c*_up*MQ..*_ga*NTkyOTAzNjguMTc0NDE3MTExMg..*_ga_0T1NKWVSZ2*MTc0NDE3MzMxMy4yLjEuMTc0NDE3MzUxMy4wLjAuMA..,£3.05,-5.2%,https://www.dentalsky.com/pegasus-blue-velcro-bib.html,N/A,,,£3.14,,https://www.dmi.co.uk/products/pegasus-bib-with-velcro-single-pega-10023.html?name=Pegasus&type=simple&_gl=1*a3ie9c*_up*MQ..*_ga*NTkyOTAzNjguMTc0NDE3MTExMg..*_ga_0T1NKWVSZ2*MTc0NDE3MzMxMy4yLjEuMTc0NDE3MzUxMy4wLjAuMA..,N/A,,
ABG031B,HPC HandSafe White Nitrile Gloves Small (GN92) - Box200,HPC,GN92,"APRONS, BIBS & GLOVES",Box (200),£4.73,£9.70,€11.25,51.2%,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,N/A,,
ABG033A,HPC HandSafe White Nitrile Gloves Medium (GN92) - Box200,HPC,GN92,"APRONS, BIBS & GLOVES",Box (200),£6.58,£10.68,€12.39,38.4%,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,N/A,,
ABG163A,HPC HandSafe Blue Nitrile Gloves P/Free Small GN90 - Box200,HPC,GN90SMALL / 10,"APRONS, BIBS & GLOVES",Box (200),£4.46,£7.65,€8.87,41.7%,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,N/A,,
ABG164A,HPC HandSafe Blue Nitrile Gloves P/Free Medium GN90 - Box200,HPC,GN90MEDIUM / 10,"APRONS, BIBS & GLOVES",Box (200),£4.37,£8.25,€9.57,47.0%,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,N/A,,
ABG165A,HPC HandSafe Blue Nitrile Gloves P/Free Large GN90 - Box200,HPC,GN90LARGE /10,"APRONS, BIBS & GLOVES",Box (200),£4.50,£7.63,€8.85,41.0%,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,N/A,,
ABG205,Perfection Plus Serviette Bibs Lilac (PP002/0075) - Pack 500,Perfection Plus,PP002/0075,"APRONS, BIBS & GLOVES",Pack (500),£10.95,£17.00,€19.72,35.6%,€26.37,-25.2%,https://www.dmi.ie/products/perfection-plus-3-ply-serviette-bibs-500pk-lilac-perf-0020075.html?name=Perfection%20Plus%20Serviette%20Bibs%20&type=simple&_gl=1*1fz56se*_up*MQ..*_ga*NjI2ODAzNjE0LjE3NDQxNDM1NTQ.*_ga_0T1NKWVSZ2*MTc0NDE1NDk3OS4yLjEuMTc0NDE1NTIyNy4wLjAuMA..,N/A,N/A,,N/A,N/A,,£22.08,,https://www.dmi.co.uk/products/perfection-plus-3-ply-serviette-bibs-500pk-lilac-perf-0020075.html?name=Perfection%20Plus%20Serviette%20Bibs%20&type=simple&_gl=1*1fz56se*_up*MQ..*_ga*NjI2ODAzNjE0LjE3NDQxNDM1NTQ.*_ga_0T1NKWVSZ2*MTc0NDE1NDk3OS4yLjEuMTc0NDE1NTIyNy4wLjAuMA..,N/A,,
