Our Code,Our Name,Site,Competitor URL,Competitor Product Name,Match Score,Manual Override
ANP030,Perfection Plus EasiJect Sterile Needles 30Gx21mm (013/0208),dmi_ie,https://www.dmi.ie/products/needles-easiject-x-100-30g-short-0-3-x-21mm-perf-0130208.html,Perfection Plus Easiject Sterile Needles X 30G Short 21mm,0.88,
ANP030,Perfection Plus EasiJect Sterile Needles 30Gx21mm (013/0208),dmi_uk,https://www.dmi.co.uk/products/needles-easiject-x-100-30g-short-0-3-x-21mm-perf-0130208.html,Perfection Plus Easiject Sterile Needles X 30G Short 21mm,0.88,
ASD262,Septodont Ultra Safety Plus Twist Needles 27g Long - Box100,dmi_ie,https://www.dmi.ie/products/ultra-safety-plus-twist-27g-35-mm-2-2-ml-pack-100-sept-11513o.html,Septodont Ultra Safety Plus Twist Needles 27g Long 35mm Yellow 100pk,0.76,
ASD262,Septodont Ultra Safety Plus Twist Needles 27g Long - Box100,dmi_uk,https://www.dmi.co.uk/products/ultra-safety-plus-twist-27g-35-mm-2-2-ml-pack-100-sept-11513o.html,Septodont Ultra Safety Plus Twist Needles 27g Long 35mm Yellow 100pk,0.76,
ASD264,Septodont Ultra Safety Plus Twist Needles 30g Short - Box100,dmi_ie,https://www.dmi.ie/products/needles-ultra-safety-plus-twist-30g-ultra-short-10mm-purple-x-100-sept-twist04.html,Septodont Ultra Safety Plus Twist Needles 30g Ultra Short 10mm Purple x 100,0.76,
ASD264,Septodont Ultra Safety Plus Twist Needles 30g Short - Box100,dmi_uk,https://www.dmi.co.uk/products/needles-ultra-safety-plus-twist-30g-short-25mm-blue-x-100-sept-twist03.html,Septodont Ultra Safety Plus Twist Needles 30g Short 25mm Blue 100pk,0.76,
BOU030,Boutique By Night Gift Bag,dmi_ie,https://www.dmi.ie/products/boutique-whitening-gift-bag-single-btq-gbag.html,Boutique Night Gift Bag Black/Gold,1.00,
BOU030,Boutique By Night Gift Bag,dmi_uk,https://www.dmi.co.uk/products/boutique-whitening-gift-bag-single-btq-gbag.html,Boutique Night Gift Bag Black/Gold,1.00,
CAW596,UnoDent Surface Disinfectant Wipes Alcohol-free Apple Tub,dmi_ie,https://www.dmi.ie/products/unodent-zero-jumbo-alcohol-free-surface-disinfectant-wipe-x-200-refill-uno-caw597.html,Unodent Surface Disinfectant Wipes - Alcohol-free Refill Pack - Apple,1.00,
CAW596,UnoDent Surface Disinfectant Wipes Alcohol-free Apple Tub,dmi_uk,https://www.dmi.co.uk/products/unodent-zero-jumbo-alcohol-free-surface-disinfectant-wipe-x-200-refill-uno-caw597.html,Unodent Surface Disinfectant Wipes - Alcohol-free Refill Pack - Apple,1.00,
CAW597,UnoDent Surface Disinfectant Wipes Alcohol-free Refill Pack,dmi_ie,https://www.dmi.ie/products/unodent-zero-jumbo-alcohol-free-surface-disinfectant-wipe-x-200-refill-uno-caw597.html,Unodent Surface Disinfectant Wipes - Alcohol-free Refill Pack - Apple,1.00,
CAW597,UnoDent Surface Disinfectant Wipes Alcohol-free Refill Pack,dmi_uk,https://www.dmi.co.uk/products/unodent-zero-jumbo-alcohol-free-surface-disinfectant-wipe-x-200-refill-uno-caw597.html,Unodent Surface Disinfectant Wipes - Alcohol-free Refill Pack - Apple,1.00,
CAW759,Clinell Universal Disinfectant Spray (CDS500) - 500ml,dentalsky,https://www.dentalsky.com/clinell-universal-disinfectant-spray-500ml.html,Clinell Universal Disinfectant Spray - 500ml,0.86,
CPP096,Perfection Plus Protect+ Blue Ear Loop Masks (002/0048) - 50,dmi_ie,https://www.dmi.ie/products/protect-medical-face-masks-3-ply-ear-loop-type-iir-blue-box-50-perf-0020048.html,Perfection Plus Protect+ Medical Face Masks 3 Ply Ear Loop Type IIR,0.83,
