Code,Name,Manufacturer,Part Number,Product Group Description,Stock Unit Name,Cost Price,Sales Price (£),Sales Price (€),Margin,DMI Sales Price (€),Variance (DMI IE),DMI URL (IE),DMI IE Notes,DMI IE Product,DMI IE Pack Flag,DMI IE Adjusted Variance,DMI Sales Price (£),Variance (DMI UK),DMI URL (UK),DMI UK Notes,DMI UK Product,DMI UK Pack Flag,DMI UK Adjusted Variance,DentalSky Sales Price (£),Variance (DentalSky),DentalSky URL,DentalSky Notes,DentalSky Product,DentalSky Pack Flag,DentalSky Adjusted Variance,Dontalia Sales Price (€),Variance (Dontalia),Dontalia URL,Dontalia Notes,Dontalia Product,Dontalia Pack Flag,Dontalia Adjusted Variance,Henry Schein Sales Price (€),Variance (Henry Schein),Henry Schein URL,Henry Schein Notes,Henry Schein Product,Henry Schein Pack Flag,Henry Schein Adjusted Variance
EGU217,UnoDent SS K File 25mm Size 35 - Pack6,UnoDent,EGU217,ENDODONTICS & ACCESSORIES,Pack (6),£0.83,£3.34,€3.87,75.1%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
EGU218,UnoDent SS K File 25mm Size 40 - Pack6,UnoDent,EGU218,ENDODONTICS & ACCESSORIES,Pack (6),£0.83,£3.32,€3.85,75.0%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
EGU359,UnoDent SS H File (Hedstrom) 25mm Size 15 - Pack6,UnoDent,EGU359,ENDODONTICS & ACCESSORIES,Pack (6),£0.83,£3.19,€3.70,74.0%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
EHO018,Bossklein Universal Handpiece Oil Spray 500ml (BOS9777) Each,Bossklein,BOS9777,EQS - Equipment Sundries,Each,£2.10,£4.63,€5.37,54.6%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,,,,,,,
EHO027,UnoDent Unolube Universal Spray 500ml (GOU100) - Each,UnoDent,GOU100,EQS - Equipment Sundries,Each,£3.14,£11.08,€12.85,71.7%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
EIM038,Perfection Plus Tray Lining Paper Blue (PP002/0012B),Perfection Plus,PP002/0012B,INSTRUMENTS & ACCESSORIES,Pack (250),£3.40,£5.00,€5.80,32.0%,€7.92,-26.8%,https://www.dmi.ie/products/perfection-plus-tray-paper-250pk-blue-perf-0020012b.html,,Perfection Plus Tray Paper - 250 Pack  Blue,UNKNOWN,,£6.97,-28.3%,https://www.dmi.co.uk/products/perfection-plus-tray-paper-250pk-blue-perf-0020012b.html,,Perfection Plus Tray Paper - 250 Pack  Blue,UNKNOWN,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
EIM041,Perfection Plus Tray Lining Paper Pink (PP002/0012P),Perfection Plus,PP002/0012P,INSTRUMENTS & ACCESSORIES,Pack (250),£3.40,£5.00,€5.80,32.0%,€7.92,-26.8%,https://www.dmi.ie/products/perfection-plus-tray-paper-250pk-pink-perf-0020012p.html,,Perfection Plus Tray Paper X 250 Pink,UNKNOWN,,£6.97,-28.3%,https://www.dmi.co.uk/products/perfection-plus-tray-paper-250pk-pink-perf-0020012p.html,,Perfection Plus Tray Paper X 250 Pink,UNKNOWN,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
EIM043,"UnoDent Tray Lining Paper 11""x7"" (CUD060) - Pack250",UnoDent,CUD060,INSTRUMENTS & ACCESSORIES,Pack (250),£2.40,£6.32,€7.33,62.0%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
EIM054,UnoDent Disposable Tray Liner Green (CUD002) - Pack50,UnoDent,CUD002,INSTRUMENTS & ACCESSORIES,Pack (50),£2.21,£6.34,€7.35,65.1%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
ELU606,UnoDent UnoOne Reciprocating File Primary 3-file 25mm 25,UnoDent,ELU606,ENDODONTICS & ACCESSORIES,Pack (3),£5.82,£16.88,€19.58,65.5%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
ELU659,UnoDent UnoTaper Rotary File Sterile S1 25mm - Pack6,UnoDent,ELU659,ENDODONTICS & ACCESSORIES,Pack (6),£6.74,£21.72,€25.20,69.0%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
ELU661,UnoDent UnoTaper Rotary File Sterile F1 25mm - Pack6,UnoDent,ELU661,ENDODONTICS & ACCESSORIES,Pack (6),£6.56,£21.72,€25.20,69.8%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
ELU666,UnoDent UnoTaper Rotary File Sterile Assorted SX/F3 25mm,UnoDent,ELU666,ENDODONTICS & ACCESSORIES,Pack (6),£6.60,£21.93,€25.44,69.9%,€19.75,28.8%,https://www.dmi.ie/products/unotaper-rotary-file-sterile-pack-6-assorted-sx-f3-25mm-uno-elu666.html,,UnoDent UnoTaper Rotary File Sterile Assorted SX/F3 25mm - Pack of 6,UNKNOWN,,£22.78,-3.7%,https://www.dmi.co.uk/products/unotaper-rotary-file-sterile-pack-6-assorted-sx-f3-25mm-uno-elu666.html,,UnoDent UnoTaper Rotary File Sterile Assorted SX/F3 25mm - Pack of 6,UNKNOWN,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
EMED002,#Eire Septodont Xylonor Gel 15g - Each,Septodont,XYLON03S / 6,MEDICINES,Each,£8.73,£11.33,€13.14,23.0%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,,,,,,,
EMED003,#Eire Septodont Lignospan 2% Special 2.2ml - Box50,Septodont,LIGNO02S,MEDICINES,Box (50),£24.45,£28.88,€33.50,15.3%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,,,,,,,
EMED004,#Eire Septodont Scandonest 3% Plain 2.2ml - Box50,Septodont,SCAND04S,MEDICINES,Box (50),£25.04,£29.85,€34.63,16.1%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,,,,,,,
EMED018,"#Eire Septodont Septanest 1:100,000 2.2ml - Box50",Septodont,11825O,MEDICINES,Box (50),£26.14,£30.81,€35.74,15.1%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,,,,,,,
EMV155,VDW C-Pilot Sterile File Size 10 25mm (V040368025010),VDW,V040368025010,ENDODONTICS & ACCESSORIES,Pack (6),£12.16,£15.07,€17.48,19.3%,€17.25,1.3%,https://www.dmi.ie/products/vdw-sterile-c-pilot-files-25mm-size-10-6pk-vdw-368025010.html,,VDW Sterile C-Pilot Files 25mm Size 10 Purple 6pk,UNKNOWN,,£14.84,1.5%,https://www.dmi.co.uk/products/vdw-sterile-c-pilot-files-25mm-size-10-6pk-vdw-368025010.html,,VDW Sterile C-Pilot Files 25mm Size 10 Purple 6pk,UNKNOWN,,N/A,N/A,,Not listed on competitor,,,,€11.50,,https://www.dontalia.com/c-pilot-files-sizes-06-10-zipperer-vdw.html,,,,,,,,,,,
